dataset,model,precision,recall,f1,pr_auc,precision_at_recall
UCI SMS,BERT Base,0.7142857142857143,1.0,0.8333333333333333,1.0,1.0
UCI SMS,DistilBERT,0.7692307692307693,1.0,0.8695652173913044,1.0,1.0
UCI SMS,XLM-RoBERTa,0.9090909090909091,1.0,0.9523809523809523,0.9904545454545455,1.0
UCI SMS,TF-IDF + SVM,0.7692307692307693,1.0,0.8695652173913044,1.0,1.0
UCI SMS,fastText,0.8333333333333334,1.0,0.9090909090909091,0.9313455988455988,0.9
Turkish SMS,BERT Base,1.0,1.0,1.0,1.0,1.0
Turkish SMS,DistilBERT,1.0,1.0,1.0,1.0,1.0
Turkish SMS,XLM-RoBERTa,1.0,1.0,1.0,1.0,1.0
Turkish SMS,TF-IDF + SVM,1.0,1.0,1.0,1.0,1.0
Turkish SMS,fastText,0.6666666666666666,1.0,0.8,1.0,1.0
YouTube Spam,BERT Base,0.2857142857142857,1.0,0.4444444444444445,1.0,1.0
YouTube Spam,DistilBERT,0.5,1.0,0.6666666666666666,1.0,1.0
YouTube Spam,XLM-RoBERTa,0.5,1.0,0.6666666666666666,1.0,1.0
YouTube Spam,TF-IDF + SVM,0.2857142857142857,1.0,0.4444444444444445,1.0,1.0
YouTube Spam,fastText,0.25,1.0,0.4,0.7916666666666666,0.6666666666666666
Enron Spam,BERT Base,0.66,1.0,0.7951807228915663,0.9919933824345589,1.0
Enron Spam,DistilBERT,0.4177215189873418,1.0,0.5892857142857143,0.9895805449830966,0.967741935483871
Enron Spam,XLM-RoBERTa,0.38823529411764707,1.0,0.5593220338983051,0.8626162608947052,0.9117647058823529
Enron Spam,TF-IDF + SVM,0.4925373134328358,1.0,0.66,0.9836763310837712,0.967741935483871
Enron Spam,fastText,0.25984251968503935,1.0,0.4125,0.7003276831465247,0.5263157894736842
